Employee_ID,High_Potential_Flag
601,0
737,0
315,0
816,0
979,0
10,1
135,0
778,0
410,0
413,0
72,0
460,0
510,0
55,1
802,0
714,0
543,0
768,1
147,0
837,0
488,0
874,0
949,0
719,0
35,0
172,0
396,0
369,0
362,1
329,0
684,0
257,0
1000,1
180,1
919,1
586,0
165,1
850,0
957,0
467,1
373,0
602,0
485,0
14,1
749,0
317,0
456,0
141,1
217,0
490,1
306,0
659,1
956,0
583,0
900,1
661,0
409,1
100,0
786,0
154,0
47,0
5,0
173,0
966,1
927,0
223,0
998,1
260,0
559,0
233,0
109,0
855,0
981,0
99,0
766,0
834,0
221,1
358,0
972,0
25,0
993,0
682,0
385,1
95,0
771,0
452,0
26,0
114,0
126,1
61,0
434,0
296,0
245,0
681,0
76,0
899,0
427,1
716,1
418,1
910,0
390,0
54,0
844,0
351,0
472,0
532,0
644,0
404,0
907,0
493,0
376,0
913,0
511,0
98,0
286,0
783,0
740,0
499,1
781,0
18,0
197,0
27,0
729,0
744,1
345,0
703,0
190,0
743,0
971,0
271,1
327,1
807,0
813,1
779,0
796,1
352,1
386,0
753,0
792,1
732,0
263,0
841,0
169,0
650,1
563,0
660,0
730,0
554,0
307,1
926,0
962,0
758,0
897,0
791,0
642,0
503,0
309,0
111,0
526,0
870,0
58,0
651,0
7,0
967,0
139,0
164,0
359,0
839,1
44,0
616,1
64,1
592,0
587,0
39,0
400,1
787,0
889,0
984,0
205,0
421,0
961,0
863,0
285,0
453,0
789,1
497,1
419,0
473,0
186,1
969,0
633,0
857,0
873,0
229,0
548,1
858,0
368,0
62,1
627,0
597,0
508,0
545,1
596,1
748,0
455,0
254,1
138,1
515,0
710,0
436,1
571,1
110,0
678,0
361,0
337,0
611,0
701,0
320,0
614,0
397,1
149,0
794,1
685,0
541,0
159,1
929,0
570,0
494,0
24,0
690,0
129,0
862,0
973,1
325,1
903,0
512,0
363,0
953,0
468,0
715,0
847,0
759,0
831,1
680,0
420,0
527,1
610,0
250,0
380,0
16,1
160,0
645,1
49,1
990,0
412,0
378,0
295,0
568,1
128,0
298,0
997,0
238,0
168,0
893,0
447,0
81,0
876,0
942,0
938,0
31,0
243,0
672,0
741,1
572,0
776,0
579,0
706,0
28,1
578,0
123,0
803,0
936,0
921,0
724,0
564,1
509,0
272,0
348,0
757,0
278,0
895,0
908,1
432,0
692,0
976,0
148,0
300,0
557,0
446,0
878,0
458,0
52,0
879,0
519,0
23,1
319,0
675,1
433,0
210,0
620,0
143,0
51,0
167,0
667,0
82,0
849,0
322,0
933,1
965,0
887,0
67,1
335,0
290,0
340,1
830,0
284,1
501,0
665,1
65,0
694,0
265,0
450,0
581,0
784,0
21,0
443,0
822,0
