Employee_ID,Attrition_Probability,Attrition_Risk_Flag
601,0.03591397822957704,Low
737,0.27217814690111664,Low
315,0.43164174993855176,Medium
816,0.29199582481690356,Low
979,0.25422043720682436,Low
10,0.7920862682761538,High
135,0.0601693296644695,Low
778,0.28656292030999486,Low
410,0.30473068949716126,Medium
413,0.24047197997140385,Low
72,0.21006800123844016,Low
460,0.2588751742264288,Low
510,0.31651883272871995,Medium
55,0.4053056665577888,Medium
802,0.14993421365189652,Low
714,0.20763468096946233,Low
543,0.25706124150533266,Low
768,0.2991751537614664,Low
147,0.14273846692600894,Low
837,0.16467138940921158,Low
488,0.26474507563809857,Low
874,0.3272986780230033,Medium
949,0.189059449214392,Low
719,0.36216287247590573,Medium
35,0.34011411716563517,Medium
172,0.2580594137186987,Low
396,0.132774938254056,Low
369,0.3339297359938016,Medium
362,0.7642357138372347,High
329,0.3499423710122168,Medium
684,0.12439405957134567,Low
257,0.10270214554068428,Low
1000,0.8487827481503777,High
180,0.8680674951405334,High
919,0.5050922859517019,Medium
586,0.3289900020900129,Medium
165,0.17933855912423707,Low
850,0.1060088006019954,Low
957,0.4289085722276717,Medium
467,0.752721697064758,High
373,0.300799141437621,Medium
602,0.26504503323519807,Low
485,0.33063349755336147,Medium
14,0.8000581242163195,High
749,0.3815393353682433,Medium
317,0.10865178429272188,Low
456,0.26720483972630454,Low
141,0.1898964081846339,Low
217,0.12207504385406419,Low
490,0.3688451577719016,Medium
306,0.3767888290677927,Medium
659,0.7211137773387927,High
956,0.27803865575021514,Low
583,0.10520855440935414,Low
900,0.7979021958128799,High
661,0.33108903335298623,Medium
409,0.17343282022556508,Low
100,0.3096111742982193,Medium
786,0.11032338025234456,Low
154,0.2875343639889045,Low
47,0.05771046859058602,Low
5,0.2756901190141695,Low
173,0.22477050422312359,Low
966,0.1836369372591781,Low
927,0.2884189764800805,Low
223,0.4667107147380477,Medium
998,0.8738410998722702,High
260,0.2206809951547336,Low
559,0.052623438234077155,Low
233,0.17412832675427825,Low
109,0.45822105697480336,Medium
855,0.35028226487592246,Medium
981,0.22287947177765832,Low
99,0.1691408596104676,Low
766,0.26490113183449837,Low
834,0.2356825559193661,Low
221,0.13907689925809316,Low
358,0.18096570946442042,Low
972,0.20272097471268188,Low
